Date,Total weeks on chart for top 40
1969-04-24,239
1969-05-01,252
1969-05-08,245
1969-05-15,238
1969-05-22,218
1969-05-29,249
1969-06-05,251
1969-06-12,234
1969-06-19,235
1969-06-26,226
1969-07-03,247
1969-07-10,223
1969-07-17,239
1969-07-24,230
1969-07-31,237
1969-08-07,237
1969-08-14,253
1969-08-21,257
1969-08-28,247
1969-09-04,230
1969-09-11,253
1969-09-18,240
1969-09-25,260
1969-10-02,274
1969-10-09,271
1969-10-16,294
1969-10-23,276
1969-10-30,257
1969-11-06,215
1969-11-13,232
1969-11-20,200
1969-11-27,217
1969-12-04,228
1969-12-11,246
1969-12-18,240
1969-12-25,287
1970-01-01,327
1970-01-08,308
1970-01-15,288
1970-01-22,265
1970-01-29,246
1970-02-05,266
1970-02-12,261
1970-02-19,278
1970-02-26,238
1970-03-05,289
1970-03-12,270
1970-03-19,249
1970-03-26,238
1970-04-02,230
1970-04-09,250
1970-04-16,261
1970-04-23,274
1970-04-30,282
1970-05-07,238
1970-05-14,241
1970-05-21,232
1970-05-28,246
1970-06-04,224
1970-06-11,228
1970-06-18,249
1970-06-25,280
1970-07-02,271
1970-07-09,264
1970-07-16,275
1970-07-23,287
1970-07-30,302
1970-08-06,290
1970-08-13,311
1970-08-20,301
1970-08-27,306
1970-09-03,287
1970-09-10,253
1970-09-17,264
1970-09-24,268
1970-10-01,267
1970-10-08,273
1970-10-15,285
1970-10-22,304
1970-10-29,285
1970-11-05,273
1970-11-12,245
1970-11-19,226
1970-11-26,276
1970-12-03,266
1970-12-10,266
1970-12-17,315
1970-12-24,355
1970-12-31,372
1971-01-07,364
1971-01-14,320
1971-01-21,291
1971-01-28,309
1971-02-04,307
1971-02-11,301
1971-02-18,302
1971-02-25,288
1971-03-04,307
1971-03-11,295
1971-03-18,236
1971-03-25,308
1971-04-01,313
1971-04-08,306
1971-04-15,319
1971-04-22,329
1971-04-29,342
1971-05-06,316
1971-05-13,306
1971-05-20,259
1971-05-27,250
1971-06-03,314
1971-06-10,273
1971-06-17,352
1971-06-24,320
1971-07-01,308
1971-07-08,296
1971-07-15,270
1971-07-22,299
1971-07-29,225
1971-08-05,232
1971-08-12,263
1971-08-19,244
1971-08-26,257
1971-09-02,268
1971-09-09,262
1971-09-16,259
1971-09-23,265
1971-09-30,324
1971-10-07,325
1971-10-14,255
1971-10-21,231
1971-10-28,234
1971-11-04,233
1971-11-11,252
1971-11-18,254
1971-11-25,263
1971-12-02,263
1971-12-09,263
1971-12-16,232
1971-12-23,272
1971-12-30,275
1972-01-06,284
1972-01-13,242
1972-01-20,244
1972-01-27,236
1972-02-03,251
1972-02-10,233
1972-02-17,250
1972-02-24,241
1972-03-02,227
1972-03-09,224
1972-03-16,247
1972-03-23,224
1972-03-30,201
1972-04-06,206
1972-04-13,216
1972-04-20,263
1972-04-27,196
1972-05-04,251
1972-05-11,224
1972-05-18,225
1972-05-25,241
1972-06-01,251
1972-06-08,263
1972-06-15,233
1972-06-22,249
1972-06-29,275
1972-07-06,260
1972-07-13,276
1972-07-20,292
1972-07-27,304
1972-08-03,310
1972-08-10,251
1972-08-17,267
1972-08-24,243
1972-08-31,232
1972-09-07,238
1972-09-14,236
1972-09-21,246
1972-09-28,209
1972-10-05,203
1972-10-12,195
1972-10-19,204
1972-10-26,208
1972-11-02,218
1972-11-09,224
1972-11-16,234
1972-11-23,241
1972-11-30,225
1972-12-07,226
1972-12-14,189
1972-12-21,239
1972-12-28,279
1973-01-04,310
1973-01-11,263
1973-01-18,265
1973-01-25,248
1973-02-01,254
1973-02-08,273
1973-02-15,244
1973-02-22,243
1973-03-01,229
1973-03-08,204
1973-03-15,216
1973-03-22,219
